min_support,PDO,max_rules,calibrator,acc,precision,recall,f1,auc,brier,objective
0.01,10,100.0,sigmoid,0.9566744730679156,0.9900793650793651,0.9397363465160076,0.9642512077294686,0.991819862051273,0.029978473837737576,0.8691818205161362
0.005,10,100.0,sigmoid,0.9566744730679156,0.9900793650793651,0.9397363465160076,0.9642512077294686,0.991819862051273,0.029978473837737576,0.8691818205161362
50.0,10,100.0,sigmoid,0.9566744730679156,0.9900793650793651,0.9397363465160076,0.9642512077294686,0.991819862051273,0.029978473837737576,0.8691818205161362
10.0,10,100.0,sigmoid,0.9566744730679156,0.9900793650793651,0.9397363465160076,0.9642512077294686,0.991819862051273,0.029978473837737576,0.8691818205161362
0.05,100,100.0,sigmoid,0.9566744730679156,0.9862204724409449,0.943502824858757,0.9643888354186718,0.9917761335875416,0.029094963515785395,0.8696775249266705
0.05,30,100.0,sigmoid,0.9566744730679156,0.984313725490196,0.9453860640301318,0.9644572526416907,0.9917032528146555,0.02904908434536409,0.8699388570393578
0.05,50,100.0,sigmoid,0.9566744730679156,0.9862204724409449,0.943502824858757,0.9643888354186718,0.9916274568108541,0.029363025673118225,0.8694950951628904
0.05,20,100.0,sigmoid,0.955503512880562,0.9861932938856016,0.9416195856873822,0.9633911368015414,0.9915458303452217,0.029858544339147718,0.8689550931340028
0.05,10,100.0,sigmoid,0.9566744730679156,0.9862204724409449,0.943502824858757,0.9643888354186718,0.991528338959729,0.029390705756429582,0.8695309869761748
0.01,30,100.0,sigmoid,0.9543325526932084,0.984251968503937,0.9416195856873822,0.9624639076034649,0.9914875257269128,0.02990075036560583,0.8686927111617953
0.005,30,100.0,sigmoid,0.9543325526932084,0.984251968503937,0.9416195856873822,0.9624639076034649,0.9914875257269128,0.02990075036560583,0.8686927111617953
50.0,30,100.0,sigmoid,0.9543325526932084,0.984251968503937,0.9416195856873822,0.9624639076034649,0.9914875257269128,0.02990075036560583,0.8686927111617953
10.0,30,100.0,sigmoid,0.9543325526932084,0.984251968503937,0.9416195856873822,0.9624639076034649,0.9914875257269128,0.02990075036560583,0.8686927111617953
0.01,20,100.0,sigmoid,0.9543325526932084,0.9861660079051383,0.9397363465160076,0.9623915139826422,0.9913680012593797,0.029979372805294214,0.8683232903970906
50.0,20,100.0,sigmoid,0.9543325526932084,0.9861660079051383,0.9397363465160076,0.9623915139826422,0.9913680012593797,0.029979372805294214,0.8683232903970906
10.0,20,100.0,sigmoid,0.9543325526932084,0.9861660079051383,0.9397363465160076,0.9623915139826422,0.9913680012593797,0.029979372805294214,0.8683232903970906
0.005,20,100.0,sigmoid,0.9543325526932084,0.9861660079051383,0.9397363465160076,0.9623915139826422,0.9913680012593797,0.029979372805294214,0.8683232903970906
50.0,50,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.99130386617924,0.030225373198946134,0.8684933893284272
0.01,50,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.99130386617924,0.030225373198946134,0.8684933893284272
0.005,50,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.99130386617924,0.030225373198946134,0.8684933893284272
10.0,50,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.99130386617924,0.030225373198946134,0.8684933893284272
50.0,100,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9910385801659349,0.030515699746091945,0.871081488412545
0.05,100,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9910385801659349,0.030515699746091945,0.871081488412545
10.0,100,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9910385801659349,0.030515699746091945,0.871081488412545
0.01,100,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9910385801659349,0.030515699746091945,0.871081488412545
0.005,100,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9910385801659349,0.030515699746091945,0.871081488412545
0.01,100,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.9909977669331187,0.030226499090243174,0.8684089258133288
50.0,100,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.9909977669331187,0.030226499090243174,0.8684089258133288
0.005,100,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.9909977669331187,0.030226499090243174,0.8684089258133288
10.0,100,100.0,sigmoid,0.955503512880562,0.9881188118811881,0.9397363465160076,0.9633204633204633,0.9909977669331187,0.030226499090243174,0.8684089258133288
0.005,50,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909802755476261,0.027144714451635302,0.8713315198966511
0.01,50,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909802755476261,0.027144714451635302,0.8713315198966511
50.0,50,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909802755476261,0.027144714451635302,0.8713315198966511
10.0,50,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909802755476261,0.027144714451635302,0.8713315198966511
0.05,10,100.0,isotonic,0.9578454332552693,0.9920477137176938,0.9397363465160076,0.965183752417795,0.9909627841621335,0.02691176285946576,0.8722689034272776
10.0,10,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909278013911482,0.026463332535071285,0.8723987726887825
0.01,10,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909278013911482,0.026463332535071285,0.8723987726887825
0.005,10,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909278013911482,0.026463332535071285,0.8723987726887825
50.0,10,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9909278013911482,0.026463332535071285,0.8723987726887825
0.01,30,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9908257683091077,0.02708847023707341,0.8717121003875699
10.0,30,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9908257683091077,0.02708847023707341,0.8717121003875699
50.0,30,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9908257683091077,0.02708847023707341,0.8717121003875699
0.005,30,100.0,isotonic,0.9578454332552693,0.9940119760479041,0.9378531073446328,0.9651162790697675,0.9908257683091077,0.02708847023707341,0.8717121003875699
0.05,50,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9908141073854461,0.029996883786477926,0.8715025413981125
0.01,50,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9908141073854461,0.029996883786477926,0.8715025413981125
0.005,50,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9908141073854461,0.029996883786477926,0.8715025413981125
10.0,50,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9908141073854461,0.029996883786477926,0.8715025413981125
50.0,50,50.0,isotonic,0.9590163934426229,0.996,0.9378531073446328,0.9660523763336566,0.9908141073854461,0.029996883786477926,0.8715025413981125
0.05,20,100.0,isotonic,0.9543325526932084,0.9694656488549618,0.9566854990583804,0.9630331753554502,0.9904817710610857,0.028251926476372317,0.8647825882337309
0.05,100,100.0,isotonic,0.955503512880562,0.9749518304431599,0.9529190207156308,0.9638095238095238,0.9903214333607365,0.02784657857037204,0.8650429921733114
0.05,30,100.0,isotonic,0.9590163934426229,0.9940239043824701,0.9397363465160076,0.9661181026137464,0.9902572982805967,0.027066230605073967,0.8665254790225374
0.01,50,50.0,sigmoid,0.9543325526932084,0.9861660079051383,0.9397363465160076,0.9623915139826422,0.990245637356935,0.03352560719808851,0.8667832343235465
0.005,50,50.0,sigmoid,0.9543325526932084,0.9861660079051383,0.9397363465160076,0.9623915139826422,0.990245637356935,0.03352560719808851,0.8667832343235465
