Dataset,RulesFrom,Model,Accuracy (%),Precision (%),Recall (%),F1 Score (%),Balanced Accuracy (%),MCC (%),Error Rate (%),AUC (%),Time Training (s)
spambase,DT,FIGS,85.01628664495115,93.75,69.23076923076923,79.64601769911505,82.92046936114733,70.17420146153457,14.983713355048856,83.52020860495436,3.9902310371398926
spambase,DT,GAM,84.79913137893594,90.84249084249085,68.31955922865014,77.9874213836478,81.91963624514943,68.3108225296701,15.200868621064057,81.80040877988091,0.08402109146118164
spambase,DT,SLIM,84.79913137893594,90.84249084249085,68.31955922865014,77.9874213836478,81.91963624514943,68.3108225296701,15.200868621064057,81.91963624514943,0.040144920349121094
spambase,DT,TREEGAM,85.01628664495115,93.75,69.23076923076923,79.64601769911505,82.92046936114733,70.17420146153457,14.983713355048856,82.6510212950891,5.558078050613403
spambase,RF,EBM,86.75352877307276,92.94871794871796,74.35897435897436,82.62108262108262,85.10792409097493,73.30418457165598,13.246471226927248,92.12371432710415,5.207419157028198
spambase,RF,EBMLASSO,86.10206297502715,90.37800687285224,72.45179063360881,80.42813455657493,83.71693474332771,70.88130810860788,13.897937024972851,90.57387165891565,2.557934284210205
spambase,RF,FIGS,87.94788273615634,93.18885448916409,77.17948717948718,84.43197755960729,86.51818050123134,75.62525246004752,12.052117263843654,92.18552320247235,4.138413190841675
spambase,RF,GAM,83.82193268186754,83.64779874213836,73.27823691460054,78.12041116005874,81.97962024941496,65.73573056238351,16.17806731813246,83.8460361187634,0.0743408203125
spambase,RF,SLIM,83.82193268186754,83.64779874213836,73.27823691460054,78.12041116005874,81.97962024941496,65.73573056238351,16.17806731813246,86.8008037362876,1.0673489570617676
spambase,RF,TREEGAM,84.69055374592834,95.27272727272728,67.17948717948717,78.796992481203,82.36563812834999,69.8893703603667,15.309446254071657,91.50683277801922,28.08611011505127
telco,DT,EBM,80.19872249822569,70.6140350877193,43.16353887399464,53.57737104825291,68.34817870340657,43.960728248910804,19.801277501774305,78.6378057490658,0.40881776809692383
